"iata","airport"
"BIT","Baitadi Airport"
"BIU","Bildudalur Airport"
"BIV","Bria Airport"
"BIW","Billiluna Airport"
"BIX","Keesler Air Force Base"
"BIY","Bhisho Airport"
"BIZ","Bimin Airport"
"BJA","Soummam - Abane Ramdane Airport"
"BJB","Bojnord Airport"
"BJC","Rocky Mountain Metropolitan Airport"
"BJD","Bakkafjorour Airport"
"BJE","Baleela Airport"
"BJF","Batsfjord Airport"
"BJG","Kotamobagu Mopait Airport"
"BJH","Bajhang Airport"
"BJI","Bemidji Regional Airport"
"BJJ","Wayne County Airport"
"BJK","Benjina Airport (Nangasuri Airport)"
"BJL","Banjul International Airport"
"BJM","Bujumbura International Airport"
"BJN","Bajone Airport"
"BJO","Bermejo Airport"
"BJP","Arthur Siqueira-Braganca Paulista State Airport"
"BJQ","Bahja Airport"
"BJR","Bahir Dar Airport"
"BJT","Bentota River Airport"
"BJU","Bajura Airport"
"BJV","Milas-Bodrum Airport"
"BJW","Bajawa Soa Airport"
"BJX","Del Bajio International Airport (Guanajuato Int'l Airport)"
"BJY","Batajnica Air Base"
"BJZ","Badajoz Airport (Talavera la Real Air Base)"
"BKA","Bykovo Airport"
"BKB","Nal Airport"
"BKC","Buckland Airport"
"BKD","Stephens County Airport"
