"iata","airport"
"FRH","French Lick Municipal Airport"
"FRI","Marshall Army Airfield"
"FRK","Fregate Island Airport"
"FRL","Forli International Airport (Luigi Ridolfi Airport)"
"FRM","Fairmont Municipal Airport"
"FRN","Bryant Army Airport"
"FRO","Floro Airport"
"FRQ","Feramin Airport"
"FRR","Front Royal-Warren County Airport"
"FRS","Mundo Maya International Airport"
"FRT","Frutillar Airport"
"FRU","Manas International Airport"
"FRW","Francistown Airport"
"FRY","Eastern Slopes Regional Airport"
"FRZ","Fritzlar Air Base"
"FSC","Figari-Sud Corse Airport"
"FSD","Sioux Falls Regional Airport (Joe Foss Field)"
"FSI","Henry Post Army Airfield (Fort Sill)"
"FSK","Fort Scott Municipal Airport"
"FSL","Fossil Downs Airport"
"FSM","Fort Smith Regional Airport"
"FSP","Saint-Pierre Airport"
"FSS","RAF Kinloss"
"FST","Fort Stockton-Pecos County Airport"
"FSU","Fort Sumner Municipal Airport"
"FSZ","Shizuoka Airport (Mt. Fuji Shizuoka Airport)"
"FTA","Futuna Airport"
"FTE","Comandante Armando Tola International Airport"
"FTI","Fitiuta Airport"
"FTK","Godman Army Airfield"
"FTU","Tolanaro Airport (Marillac Airport)"
"FTW","Fort Worth Meacham International Airport"
"FTX","Owando Airport"
"FTY","Fulton County Airport (Charlie Brown Field)"
"FUB","Fulleborn Airport"
"FUE","Fuerteventura Airport"
"FUG","Fuyang Xiguan Airport"
"FUJ","Fukue Airport (Goto-Fukue Airport)"
"FUK","Fukuoka Airport (Itazuke Air Base)"
"FUL","Fullerton Municipal Airport"
"FUM","Fuma Airport"
"FUN","Funafuti International Airport"
"FUO","Foshan Shadi Airport"
"FUT","Pointe Vele Airport"
"FVL","Flora Valley Airport"
"FVM","Fuvahmulah Airport"
"FVR","Forrest River Airport"
"FWA","Fort Wayne International Airport"
"FWH","NAS Fort Worth JRB / Carswell Field"
"FWL","Farewell Airport"
"FXE","Fort Lauderdale Executive Airport"
"FXO","Cuamba Airport"
"FXY","Forest City Municipal Airport"
"FYJ","Fuyuan Dongji Airport"
"FYM","Fayetteville Municipal Airport"
"FYN","Fuyun Koktokay Airport"
"FYT","Faya-Largeau Airport"
"FYU","Fort Yukon Airport"
"FYV","Drake Field (Fayetteville Executive Airport)"
"FZO","Bristol Filton Airport"
"GAA","Guamal Airport"
"GAB","Gabbs Airport"
"GAC","Gracias Airport"
"GAD","Northeast Alabama Regional Airport"
"GAE","Gabes - Matmata International Airport"
"GAF","Gafsa - Ksar International Airport"
"GAG","Gage Airport"
"GAH","Gayndah Airport"
"GAI","Montgomery County Airpark"
"GAJ","Yamagata Airport (Junmachi Airport)"
"GAL","Edward G. Pitka Sr. Airport"
"GAM","Gambell Airport"
"GAN","Gan International Airport"
"GAO","Mariana Grajales Airport"
"GAP","Gusap Airport"
"GAQ","Gao International Airport (Korogoussou Airport)"
"GAR","Garaina Airport"
"GAS","Garissa Airport"
"GAT","Gap-Tallard Airport"
"GAU","Lokpriya Gopinath Bordoloi International Airport"
"GAV","Gag Island Airport"
"GAW","Gangaw Airport"
"GAX","Gamba Airport"
"GAY","Gaya Airport (Bodhgaya Airport)"
"GAZ","Guasopa Airport"
"GBA","Cotswold Airport"
"GBB","Qabala International Airport"
"GBC","Gasuke Airport"
"GBD","Great Bend Municipal Airport"
"GBE","Sir Seretse Khama International Airport"
"GBF","Negarbo Airport"
"GBG","Galesburg Municipal Airport"
"GBH","Galbraith Lake Airport"
"GBI","Kalaburagi Airport"
"GBJ","Marie-Galante Airport (Les Bases)"
"GBK","Gbangbatok Airport"
"GBL","South Goulburn Island Airport"
"GBM","Garbaharey Airport"
"GBP","Gamboola Airport"
"GBR","Walter J. Koladza Airport"
"GBT","Gorgan Airport"
"GBU","Khashm el Girba Airport"
"GBV","Gibb River Airport"
"GBW","Ginbata Airport"
"GBZ","Great Barrier Aerodrome"
"GCA","Guacamayas Airport"
"GCC","Gillette-Campbell County Airport"
"GCD","Grand Coulee Dam Airport"
"GCH","Gachsaran Airport"
"GCI","Guernsey Airport"
"GCJ","Grand Central Airport"
"GCK","Garden City Regional Airport"
"GCM","Owen Roberts International Airport"
"GCN","Grand Canyon National Park Airport"
"GCW","Grand Canyon West Airport"
"GCY","Greeneville-Greene County Municipal Airport"
"GDA","Gounda Airport"
"GDC","Donaldson Center Airport"
"GDD","Gordon Downs Airport"
"GDE","Gode Airport"
"GDG","Magdagachi Airport"
"GDH","Golden Horn Lodge Seaplane Base"
"GDI","Gordil Airport"
"GDJ","Gandajika Airport"
"GDL","Guadalajara International Airport (Miguel Hidalgo y Costilla Int'l)"
"GDM","Gardner Municipal Airport"
"GDN","Gdansk Lech Walesa Airport"
"GDO","Guasdualito Airport (Vare Maria Airport)"
"GDP","Guadalupe Airport"
"GDQ","Gondar Airport (Atse Tewodros Airport)"
"GDT","JAGS McCartney International Airport (Grand Turk Int'l)"
"GDV","Dawson Community Airport"
"GDW","Gladwin Zettel Memorial Airport"
"GDX","Sokol Airport"
"GDZ","Gelendzhik Airport"
"GEA","Noumea Magenta Airport"
"GEB","Gebe Airport"
"GEC","Gecitkale Air Base"
"GED","Delaware Coastal Airport"
"GEE","George Town Aerodrome"
"GEF","Geva Airport"
"GEG","Spokane International Airport"
"GEL","Sepe Tiaraju Airport"
"GEM","President Obiang Nguema International Airport"
"GEO","Cheddi Jagan International Airport"
"GER","Rafael Cabrera Mustelier Airport"
"GES","General Santos International Airport (Tambler Airport)"
"GET","Geraldton Airport"
"GEV","Gallivare Airport"
"GEW","Gewoia Airport"
"GEX","Geelong Airport"
"GEY","South Big Horn County Airport"
"GFD","Pope Field"
"GFE","Grenfell Airport"
"GFF","Griffith Airport"
"GFK","Grand Forks International Airport"
"GFL","Floyd Bennett Memorial Airport"
"GFN","Clarence Valley Regional Airport"
"GFO","Bartica Airport"
"GFR","Granville-Mont-Saint-Michel Aerodrome (fr)"
"GFY","Grootfontein Air Base"
"GGB","Agua Boa Airport"
"GGC","Lumbala N'guimbo Airport"
"GGD","Gregory Downs Airport"
"GGE","Georgetown County Airport"
"GGF","Almeirim Airport"
"GGG","East Texas Regional Airport"
"GGH","Gastao Mesquita Airport"
"GGJ","Guaira Airport"
"GGL","Gilgal Airport"
"GGM","Kakamega Airport"
"GGN","Gagnoa Airport"
"GGO","Guiglo Airport"
"GGR","Garowe International Airport"
"GGS","Gobernador Gregores Airport"
"GGT","Exuma International Airport"
"GGW","Glasgow Airport (Wokal Field)"
"GHA","Noumerat - Moufdi Zakaria Airport"
"GHB","Governor's Harbour Airport"
"GHC","Great Harbour Cay Airport"
"GHE","Garachine Airport"
"GHF","Giebelstadt Airport"
"GHK","Gahcho Kue Aerodrome"
"GHM","Centerville Municipal Airport"
"GHN","Guanghan Airport"
"GHT","Ghat Airport"
"GHU","Gualeguaychu Airport"
"GIB","Gibraltar International Airport (North Front Airport)"
"GIC","Boigu Island Airport"
"GID","Gitega Airport"
"GIF","Winter Haven's Gilbert Airport"
"GIG","Galeao-Antonio Carlos Jobim International Airport"
"GII","Siguiri Airport"
"GIL","Gilgit Airport"
"GIM","Miele Mimbale Airport"
"GIR","Santiago Vila Airport"
"GIS","Gisborne Airport"
"GIT","Geita Airport"
"GIU","Sigiriya Airport"
"GIY","Giyani Airport"
"GIZ","Jizan Regional Airport (King Abdullah bin Abdulaziz Airport)"
"GJA","Guanaja Airport"
"GJL","Jijel Ferhat Abbas Airport"
"GJM","Guajara-Mirim Airport"
"GJR","Gjogur Airport"
"GJT","Grand Junction Regional Airport (Walker Field)"
"GKA","Goroka Airport"
"GKD","Gokceada Airport"
"GKE","NATO Air Base Geilenkirchen"
"GKH","Palungtar Airport"
"GKK","Kooddoo Airport"
"GKL","Great Keppel Island Airport"
"GKN","Gulkana Airport"
"GKO","Kongo Boumba Airport"
"GKT","Gatlinburg-Pigeon Forge Airport"
"GLA","Glasgow Airport"
"GLB","San Carlos Apache Airport"
"GLC","Geladi Airport"
"GLD","Goodland Municipal Airport (Renner Field)"
"GLE","Gainesville Municipal Airport"
"GLF","Golfito Airport"
"GLG","Glengyle Airport"
"GLH","Mid-Delta Regional Airport"
"GLI","Glen Innes Airport"
"GLK","Abdullahi Yusuf International Airport"
"GLL","Gol Airport"
"GLM","Glenormiston Airport"
"GLN","Guelmim Airport"
"GLO","Gloucestershire Airport"
"GLP","Gulgubip Airport"
"GLR","Gaylord Regional Airport"
"GLS","Scholes International Airport at Galveston"
"GLT","Gladstone Airport"
"GLU","Gelephu Airport"
"GLV","Golovin Airport"
"GLW","Glasgow Municipal Airport"
"GLX","Gamarmalamo Airport"
"GLY","Goldsworthy Airport"
"GLZ","Gilze-Rijen Air Base"
"GMA","Gemena Airport"
"GMB","Gambela Airport"
"GMC","Guerima Airport"
"GMD","Ben Slimane Airport"
"GME","Gomel Airport"
"GMI","Gasmata Airport"
"GMM","Gamboma Airport"
"GMN","Greymouth Airport"
"GMO","Gombe Lawanti International Airport"
"GMQ","Golog Maqin Airport"
"GMR","Totegegie Airport (Gambier Island Airport)"
"GMS","Guimaraes Airport"
"GMT","Granite Mountain Air Station"
"GMU","Greenville Downtown Airport"
"GMV","Monument Valley Airport"
"GMZ","La Gomera Airport"
"GNA","Grodno Airport"
"GNB","Grenoble-Isere Airport"
"GND","Maurice Bishop International Airport"
"GNF","Gansner Field"
"GNG","Gooding Municipal Airport"
"GNI","Lyudao Airport (Green Island Airport)"
"GNM","Guanambi Airport"
"GNN","Ginir Airport"
"GNR","Dr. Arturo Umberto Illia Airport"
"GNS","Binaka Airport"
"GNT","Grants-Milan Municipal Airport"
"GNU","Goodnews Airport"
"GNV","Gainesville Regional Airport"
"GNY","Sanliurfa GAP Airport"
"GNZ","Ghanzi Airport"
"GOA","Genoa Cristoforo Colombo Airport"
"GOB","Robe Airport"
"GOC","Gora Airport"
"GOE","Gonaili Airstrip"
"GOG","Gobabis Airport"
"GOH","Nuuk Airport"
"GOI","Goa International Airport (Dabolim Airport)"
"GOJ","Nizhny Novgorod International Airport (Strigino Airport)"
"GOK","Guthrie-Edmond Regional Airport"
"GOL","Gold Beach Municipal Airport"
"GOM","Goma International Airport"
"GON","Groton-New London Airport"
"GOO","Goondiwindi Airport"
"GOP","Gorakhpur Airport"
"GOQ","Golmud Airport"
"GOR","Gore Airport"
"GOS","Somersby Airfield"
"GOT","Goteborg Landvetter Airport"
"GOU","Garoua International Airport"
"GOV","Gove Airport"
"GOZ","Gorna Oryahovitsa Airport"
"GPA","Araxos Airport"
"GPB","Tancredo Thomas de Faria Airport"
"GPD","Mount Gordon Airport"
"GPI","Guapi Airport (Juan Casiano Airport)"
"GPL","Guapiles Airport"
"GPN","Garden Point Airport"
"GPO","General Pico Airport"
"GPS","Seymour Airport"
"GPT","Gulfport-Biloxi International Airport"
"GPZ","Grand Rapids-Itasca County Airport (Gordon Newstrom Field)"
"GQQ","Galion Municipal Airport"
"GRA","Gamarra Airport"
"GRB","Austin Straubel International Airport"
"GRC","Grand Cess Airport"
"GRD","Greenwood County Airport"
"GRE","Greenville Airport"
"GRF","Gray Army Airfield"
"GRG","Gardez Airport"
"GRH","Garuahi Airport"
"GRI","Central Nebraska Regional Airport"
"GRJ","George Airport"
"GRK","Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield"
"GRL","Garasa Airport"
"GRM","Grand Marais/Cook County Airport"
"GRN","Gordon Municipal Airport"
"GRO","Girona-Costa Brava Airport"
"GRP","Gurupi Airport"
"GRQ","Groningen Airport Eelde"
"GRR","Gerald R. Ford International Airport"
"GRS","Grosseto Airport"
"GRT","Gujrat Airport"
"GRU","Guarulhos International Airport"
"GRV","Grozny Airport"
"GRW","Graciosa Airport"
"GRX","Federico Garcia Lorca Airport (Granada Jaen Airport)"
"GRY","Grimsey Airport"
"GRZ","Graz Airport"
"GSA","Long Pasia Airport"
"GSB","Seymour Johnson Air Force Base"
"GSC","Gascoyne Junction Airport"
"GSE","Goteborg City Airport"
"GSH","Goshen Municipal Airport"
"GSI","Grand-Santi Airport"
"GSJ","San Jose Airport"
"GSL","Taltheilei Narrows Airport"
"GSM","Dayrestan Airport (Qeshm International Airport)"
"GSN","Mount Gunson Airport"
"GSO","Piedmont Triad International Airport"
"GSP","Greenville-Spartanburg International Airport"
"GSQ","Sharq Al-Owainat Airport"
"GSR","Qardho Airport"
"GSS","Sabi Sabi Airport"
"GST","Gustavus Airport"
"GSU","Azaza Airport"
"GSV","Saratov Gagarin Airport"
"GTA","Gatokae Aerodrome"
"GTE","Groote Eylandt Airport"
"GTF","Great Falls International Airport"
"GTG","Grantsburg Municipal Airport"
"GTI","Rugen Airport (Guttin Airfield)"
"GTN","Glentanner Aerodrome"
"GTO","Jalaluddin Airport"
"GTP","Grants Pass Airport"
"GTR","Golden Triangle Regional Airport"
"GTS","The Granites Airport"
"GTT","Georgetown Airport"
"GTW","Holesov Airport"
"GTY","Gettysburg Regional Airport"
"GTZ","Kirawira B Airstrip"
"GUA","La Aurora International Airport"
"GUB","Guerrero Negro Airport"
"GUC","Gunnison-Crested Butte Regional Airport"
"GUD","Goundam Airport"
"GUE","Guriaso Airport"
"GUF","Jack Edwards Airport"
"GUG","Guari Airport"
"GUH","Gunnedah Airport"
"GUI","Guiria Airport"
"GUJ","Guaratingueta Airport"
"GUL","Goulburn Airport"
"GUM","Antonio B. Won Pat International Airport (Guam Int'l)"
"GUP","Gallup Municipal Airport"
"GUQ","Guanare Airport"
"GUR","Gurney Airport"
"GUS","Grissom Air Reserve Base"
"GUT","RAF Gutersloh"
"GUU","Grundarfjorour Airport"
"GUV","Mougulu Airport"
"GUW","Atyrau Airport"
"GUX","Guna Airport"
"GUY","Guymon Municipal Airport"
"GUZ","Guarapari Airport"
"GVA","Geneva Airport"
"GVE","Gordonsville Municipal Airport"
"GVI","Green River Airport"
"GVL","Lee Gilmer Memorial Airport"
"GVN","Sovetskaya Gavan Airport"
"GVP","Greenvale Airport"
"GVR","Coronel Altino Machado de Oliveira Airport"
"GVT","Majors Airport"
"GVX","Gavle-Sandviken Airport"
"GWA","Gwa Airport"
"GWD","Gwadar International Airport"
"GWE","Thornhill Air Base"
"GWL","Rajmata Vijaya Raje Scindia Airport (Gwalior Airport)"
"GWN","Gnarowein Airport"
"GWO","Greenwood-Leflore Airport"
"GWS","Glenwood Springs Municipal Airport"
"GWT","Sylt Airport (Westerland Airport)"
"GWV","Glendale Fokker Field"
"GWY","Galway Airport"
"GXF","Sayun Airport"
"GXG","Negage Airport"
"GXH","Gannan Xiahe Airport"
"GXQ","Teniente Vidal Airfield"
"GXX","Yagoua Airport"
"GXY","Greeley-Weld County Airport"
"GYA","Guayaramerin Airport"
"GYD","Heydar Aliyev International Airport"
"GYE","Jose Joaquin de Olmedo International Airport"
"GYG","Magan Airport"
"GYI","Gisenyi Airport"
"GYL","Argyle Airport"
"GYM","General Jose Maria Yanez International Airport"
"GYN","Santa Genoveva Airport"
"GYP","Gympie Airport"
"GYR","Phoenix Goodyear Airport"
"GYS","Guangyuan Panlong Airport"
"GYU","Guyuan Liupanshan Airport"
"GZA","Yasser Arafat International Airport"
"GZI","Ghazni Airport"
"GZO","Nusatupe Airport"
"GZP","Gazipasa-Alanya Airport"
"GZT","Gaziantep Oguzeli International Airport"
"GZW","Qazvin Airport"
"HAA","Hasvik Airport"
"HAB","Marion County - Rankin Fite Airport"
"HAC","Hachijojima Airport"
"HAD","Halmstad Airport (Halmstad City Airport)"
"HAF","Half Moon Bay Airport"
"HAH","Prince Said Ibrahim International Airport"
"HAI","Three Rivers Municipal Airport (Dr. Haines Flying Field)"
"HAJ","Hannover Airport"
"HAK","Haikou Meilan International Airport"
"HAL","Halali Airport"
"HAM","Hamburg Airport"
"HAN","Noi Bai International Airport"
"HAO","Butler County Regional Airport"
"HAQ","Hanimaadhoo International Airport"
"HAR","Capital City Airport"
"HAS","Ha'il Regional Airport"
"HAT","Heathlands Airport"
"HAU","Haugesund Airport"
"HAV","Jose Marti International Airport"
"HAW","Haverfordwest Aerodrome"
"HAY","Hacaritama Airport"
"HAZ","Hatzfeldthaven Airport"
"HBA","Hobart International Airport"
"HBB","Hobbs Industrial Airpark"
"HBD","Habi Airport"
"HBE","Borg El Arab Airport"
"HBG","Hattiesburg Bobby L. Chain Municipal Airport"
"HBH","Entrance Island Seaplane Base (Hobart Bay)"
"HBK","Holbrook Municipal Airport"
"HBQ","Haibei Qilian Airport"
"HBR","Hobart Regional Airport"
"HBT","Hambantota Sea Plane Base"
"HBU","Bulgan Airport"
"HBX","Hubli Airport"
"HCA","Big Spring McMahon-Wrinkle Airport"
"HCC","Columbia County Airport"
"HCJ","Hechi Jinchengjiang Airport"
"HCM","Eyl Airport"
"HCN","Hengchun Airport"
"HCQ","Halls Creek Airport"
"HCR","Holy Cross Airport"
"HCW","Cheraw Municipal Airport (Lynch Bellinger Field"
"HCZ","Chenzhou Beihu Airport"
"HDB","Heidelberg Airport"
"HDD","Hyderabad Airport"
"HDE","Brewster Field"
"HDF","Heringsdorf Airport"
"HDG","Handan Airport"
"HDH","Dillingham Airfield"
"HDM","Hamadan Airport"
"HDN","Yampa Valley Airport"
"HDR","Havadarya Airport"
"HDS","Air Force Base Hoedspruit"
"HDY","Hat Yai International Airport"
"HEA","Herat International Airport"
"HEB","Hinthada Airport"
"HED","Herendeen Bay Airport"
"HEE","Thompson-Robbins Airport"
"HEH","Heho Airport"
"HEI","Heide-Busum Airport"
"HEK","Heihe Airport"
"HEL","Helsinki Airport (Helsinki-Vantaa Airport)"
"HEM","Helsinki-Malmi Airport"
"HEO","Haelogo Airport"
"HER","Heraklion International Airport (Nikos Kazantzakis Airport)"
"HES","Hermiston Municipal Airport"
"HET","Hohhot Baita International Airport"
"HEZ","Natchez-Adams County Airport (Hardy-Anders Field)"
"HFA","Haifa Airport (Uri Michaeli Airport)"
"HFD","Hartford-Brainard Airport"
"HFE","Hefei Xinqiao International Airport"
"HFF","Mackall Army Airfield"
"HFN","Hornafjorour Airport"
"HFS","Hagfors Airport"
"HFT","Hammerfest Airport"
"HGA","Hargeisa International Airport (Egal Int'l)"
"HGD","Hughenden Airport"
"HGE","Higuerote Airport"
"HGH","Hangzhou Xiaoshan International Airport"
"HGI","Paloich Airport"
"HGL","Helgoland Airport (Dune Airport)"
"HGN","Mae Hong Son Airport"
"HGO","Korhogo Airport"
"HGR","Hagerstown Regional Airport (Richard A. Henson Field)"
"HGS","Hastings Airport"
"HGU","Mount Hagen Airport"
"HGZ","Hog River Airport"
"HHE","JMSDF Hachinohe Air Base"
"HHH","Hilton Head Airport"
"HHI","Wheeler Army Airfield"
"HHN","Frankfurt-Hahn Airport"
"HHQ","Hua Hin Airport"
"HHR","Hawthorne Municipal Airport (Jack Northrop Field)"
"HHZ","Hikueru Airport"
"HIA","Huai'an Lianshui Airport"
"HIB","Range Regional Airport"
"HID","Horn Island Airport"
"HIE","Mount Washington Regional Airport"
"HIF","Hill Air Force Base"
"HIG","Highbury Airport"
"HII","Lake Havasu City Airport"
"HIJ","Hiroshima Airport"
"HIL","Shilavo Airport"
"HIM","Hingurakgoda Airport (Minneriya Airport)"
"HIN","Sacheon Airport"
"HIO","Hillsboro Airport (Portland-Hillsboro Airport)"
"HIP","Headingly Airport"
"HIR","Honiara International Airport"
"HIT","Haivaro Airport"
"HIW","Hiroshima-Nishi Airport"
"HJJ","Huaihua Zhijiang Airport"
"HJR","Civil Aerodrome Khajuraho"
"HJT","Khujirt Airport"
"HKA","Blytheville Municipal Airport"
"HKB","Healy Lake Airport"
"HKD","Hakodate Airport"
"HKG","Hong Kong International Airport (Chek Lap Kok Airport)"
"HKK","Hokitika Airport"
"HKN","Hoskins Airport"
"HKS","Hawkins Field"
"HKT","Phuket International Airport"
"HKV","Haskovo Malevo Airport"
"HKY","Hickory Regional Airport"
"HLA","Lanseria International Airport"
"HLB","Hillenbrand Industries Airport"
"HLC","Hill City Municipal Airport"
"HLD","Hulunbuir Hailar Airport"
"HLE","Saint Helena Airport"
"HLF","Hultsfred-Vimmerby Airport"
"HLG","Wheeling Ohio County Airport"
"HLH","Ulanhot Airport"
"HLI","Hollister Municipal Airport"
"HLL","Hillside Airport"
"HLM","Park Township Airport"
"HLN","Helena Regional Airport"
"HLR","Hood Army Airfield"
"HLS","St Helens Airport"
"HLT","Hamilton Airport"
"HLV","Helenvale Airport"
"HLW","Hluhluwe Airport"
"HLZ","Hamilton Airport"
"HMA","Khanty-Mansiysk Airport"
"HMB","Sohag International Airport"
"HME","Oued Irara-Krim Belkacem Airport"
"HMG","Hermannsburg Airport"
"HMI","Hami Airport (Kumul Airport)"
"HMJ","Khmelnytskyi Airport"
"HMN","Holloman Air Force Base"
"HMO","General Ignacio Pesqueira Garcia International Airport"
"HMR","Hamar Airport"
"HMT","Hemet-Ryan Airport"
"HMV","Hemavan Tarnaby Airport"
"HMY","Seosan Air Base"
"HNA","Hanamaki Airport"
"HNB","Huntingburg Airport"
"HNC","Billy Mitchell Airport"
"HND","Haneda Airport"
"HNH","Hoonah Airport"
"HNI","Heiweni Airport"
"HNL","Daniel K. Inouye International Airport"
"HNM","Hana Airport"
"HNN","Honinabi Airport"
"HNS","Haines Airport"
"HNY","Hengyang Nanyue Airport"
"HOA","Hola Airport"
"HOB","Lea County Regional Airport"
"HOC","Komako Airport"
"HOD","Hodeida International Airport"
"HOE","Ban Huoeisay Airport"
"HOF","Al-Ahsa International Airport"
"HOG","Frank Pais Airport"
"HOH","Hohenems-Dornbirn Airport"
"HOI","Hao Airport"
"HOK","Hooker Creek Airport"
"HOM","Homer Airport"
"HON","Huron Regional Airport"
"HOO","Nhon Co Airport"
"HOP","Campbell Army Airfield"
"HOQ","Hof-Plauen Airport"
"HOR","Horta Airport"
"HOS","Chos Malal Airport"
"HOT","Memorial Field Airport"
"HOU","William P. Hobby Airport"
